,Year,Area/Region/Country,Country or Area of Origin / Total,Other North,Other South,Afghanistan,Albania,Algeria,American Samoa,Andorra,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia (Plurinational State of),Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Caribbean Netherlands,Cayman Islands,Central African Republic,Chad,Channel Islands,Chile,China,"China, Hong Kong SAR","China, Macao SAR",Colombia,Comoros,Congo,Cook Islands,Costa Rica,Côte d'Ivoire,Croatia,Cuba,Curaçao,Cyprus,Czechia,Dem. People's Republic of Korea,Democratic Republic of the Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Faeroe Islands,Falkland Islands (Malvinas),Fiji,Finland,France,French Guiana,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guadeloupe,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Holy See,Honduras,Hungary,Iceland,India,Indonesia,Iran (Islamic Republic of),Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Kuwait,Kyrgyzstan,Lao People's Democratic Republic,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Martinique,Mauritania,Mauritius,Mayotte,Mexico,Micronesia (Fed. States of),Monaco,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Niue,Northern Mariana Islands,Norway,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Republic of Korea,Republic of Moldova,Réunion,Romania,Russian Federation,Rwanda,Saint Helena,Saint Kitts and Nevis,Saint Lucia,Saint Pierre and Miquelon,Saint Vincent and the Grenadines,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Sint Maarten (Dutch part),Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Sudan,Spain,Sri Lanka,State of Palestine,Sudan,Suriname,Swaziland,Sweden,Switzerland,Syrian Arab Republic,Tajikistan,TFYR Macedonia,Thailand,Timor-Leste,Togo,Tokelau,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United Republic of Tanzania,United States of America,United States Virgin Islands,Uruguay,Uzbekistan,Vanuatu,Venezuela (Bolivarian Republic of),Viet Nam,Wallis and Futuna Islands,Western Sahara,Yemen,Zambia,Zimbabwe
1350,2015,WORLD,247585744,3386035,6715476,4855376,1137917,1785555,2035,7589,611320,2290,49030,952965,946246,16862,520982,532718,1145889,40340,56304,7246726,95023,1473782,541558,61213,608559,15885,44041,795729,1611438,76030,1557293,4590,44992,1166722,1451286,378702,222673,1034848,325831,1313217,8921,1230,692563,226437,15944,611004,9675209,1030902,141162,2671696,115633,243502,21505,138822,841241,872057,1511294,69897,155969,856515,107608,1535315,250570,15518,69765,1402779,1105180,3200613,1509676,93098,546158,190954,753241,14692,911,207305,289031,2123574,4362,1304,64922,84396,833305,4032652,826994,10446,862150,18279,65122,10432,2123,1080720,417446,96112,472751,1244867,180,700074,587121,38634,15860056,3974873,1111953,1668072,766140,8627,338246,2872034,1072825,801380,698934,3905768,459337,4815,197827,745200,1275951,358622,773357,309073,252954,154432,3868,568406,57800,171353,331968,1795712,2830,1057333,100266,7271,13530,118570,161947,6602,12546537,20221,28944,66274,135539,16328,2852573,636107,2798323,180167,2294,1668329,962443,6252,796553,645309,353698,1180589,5364,2640,188979,20359,5922305,2561,144881,4284,843512,1430187,5423323,4258157,2209237,1867061,23506,2391558,924333,3121,3412055,10354892,513648,3435,37193,53364,432,59032,114206,2310,81065,269645,544791,931921,38164,150017,315717,23812,335780,134338,3767,1924902,862951,1418791,1289225,1625614,3732417,1876275,278250,86684,328141,648999,6238472,583704,497411,861576,37759,438492,2254,58438,360896,752714,3100282,241393,1843,3483,732235,5842594,135577,4726208,306356,2919168,3325,348569,1973283,8569,640686,2626924,7843,187287,1089146,263912,966782
1351,2015,More developed regions,140250197,734208,2715149,453527,1133125,1688486,424,7514,230835,678,36252,618941,754718,11473,425049,493964,928689,38947,9880,681525,89814,1336181,500555,54836,31705,15643,8402,277185,1608080,5409,1216394,429,13104,647889,26855,26376,149534,320834,204464,1182662,4474,1103,18859,10694,15819,316520,5331960,668298,23250,1322860,37824,103029,21449,108175,173531,867120,1427572,61428,137302,847172,32985,199107,235577,9951,48178,1284078,1012292,566800,1437876,20784,138318,187840,373488,14690,854,204472,282543,1543730,89,755,24992,66270,701402,3283273,424155,10324,741219,17771,54249,512,106,981127,89171,40928,410246,823971,178,633231,567044,37841,4536535,414352,1003925,782123,741783,8625,253144,2509189,1038152,593343,126366,3830631,338574,2349,80779,712564,281608,351024,513956,1376,100924,84549,3758,554810,57426,135103,17592,364340,1061,103532,99557,6893,589,29840,140555,0,12476015,7816,28367,40840,135239,13276,2652522,84039,191524,6036,756,234078,850041,2074,768267,305003,10629,688330,5303,61,164485,6995,1397421,196,122248,3417,108548,920991,3509069,4127431,1833923,1843291,7055,2068895,893190,580,3270477,6424922,29066,2329,25359,39848,319,43351,97532,2251,19441,162822,315368,921509,36213,91716,181393,21893,333966,132805,2667,402640,672511,4400,954148,719218,64174,122844,237977,2980,312689,608973,316457,535756,350430,645529,15026,52982,2128,54302,344205,709628,2935317,225747,252,2314,134380,5170726,52991,4250626,125758,1195077,155,162831,1515097,2581,517479,2292182,2,421,68977,69915,233656
1352,2015,Less developed regions,107335547,2651827,4000327,4401849,4792,97069,1611,75,380485,1612,12778,334024,191528,5389,95933,38754,217200,1393,46424,6565201,5209,137601,41003,6377,576854,242,35639,518544,3358,70621,340899,4161,31888,518833,1424431,352326,73139,714014,121367,130555,4447,127,673704,215743,125,294484,4343249,362604,117912,1348836,77809,140473,56,30647,667710,4937,83722,8469,18667,9343,74623,1336208,14993,5567,21587,118701,92888,2633813,71800,72314,407840,3114,379753,2,57,2833,6488,579844,4273,549,39930,18126,131903,749379,402839,122,120931,508,10873,9920,2017,99593,328275,55184,62505,420896,2,66843,20077,793,11323521,3560521,108028,885949,24357,2,85102,362845,34673,208037,572568,75137,120763,2466,117048,32636,994343,7598,259401,307697,152030,69883,110,13596,374,36250,314376,1431372,1769,953801,709,378,12941,88730,21392,6602,70522,12405,577,25434,300,3052,200051,552068,2606799,174131,1538,1434251,112402,4178,28286,340306,343069,492259,61,2579,24494,13364,4524884,2365,22633,867,734964,509196,1914254,130726,375314,23770,16451,322663,31143,2541,141578,3929970,484582,1106,11834,13516,113,15681,16674,59,61624,106823,229423,10412,1951,58301,134324,1919,1814,1533,1100,1522262,190440,1414391,335077,906396,3668243,1753431,40273,83704,15452,40026,5922015,47948,146981,216047,22733,385510,126,4136,16691,43086,164965,15646,1591,1169,597855,671868,82586,475582,180598,1724091,3170,185738,458186,5988,123207,334742,7841,186866,1020169,193997,733126
1353,2015,Least developed countries,13804757,438594,965867,3,11,17493,0,6,226332,0,4452,1142,9,0,2031,374,5,13,30163,1593,11,0,815,2,102272,0,28743,5,2,1252,15919,0,0,3,67665,336976,71133,23150,44276,2633,0,0,371748,92549,0,701,241476,116,0,4338,12502,91997,0,686,631354,19,4390,0,7,0,1430,1088698,286,3723,13,4986,2,30124,4,10948,373691,0,105852,0,0,876,6,57547,0,0,34895,17893,0,4823,121566,0,42,0,0,0,0,0,222503,47242,0,25,0,298,0,0,579693,158937,7,9913,10,0,11,3821,0,14927,2,0,89487,298,31,0,88415,23,4354,8584,15701,3356,4,0,0,9661,104770,204018,0,351630,0,6,0,74124,207,0,634,3,0,0,0,0,4656,73156,237711,7292,1489,39846,410,284,648,5,163377,197433,0,0,14313,0,355905,9,0,644,0,727,1072,1,97908,3201,0,805,3,850,5,1361,444697,0,0,0,0,30,44,0,54124,1713,162216,2,377,50007,9800,0,0,71,131,845835,68131,1300410,4082,128,3918,1082524,0,129,296,1001,3131,15032,0,44985,0,82619,0,1001,0,781,42,0,0,293,253377,9,68,39738,120718,58117,0,594,752,66,5198,83520,0,28007,6293,59687,83024
1354,2015,Less developed regions excluding least developed countries,93530790,2213233,3034460,4401846,4781,79576,1611,69,154153,1612,8326,332882,191519,5389,93902,38380,217195,1380,16261,6563608,5198,137601,40188,6375,474582,242,6896,518539,3356,69369,324980,4161,31888,518830,1356766,15350,2006,690864,77091,127922,4447,127,301956,123194,125,293783,4101773,362488,117912,1344498,65307,48476,56,29961,36356,4918,79332,8469,18660,9343,73193,247510,14707,1844,21574,113715,92886,2603689,71796,61366,34149,3114,273901,2,57,1957,6482,522297,4273,549,5035,233,131903,744556,281273,122,120889,508,10873,9920,2017,99593,105772,7942,62505,420871,2,66545,20077,793,10743828,3401584,108021,876036,24347,2,85091,359024,34673,193110,572566,75137,31276,2168,117017,32636,905928,7575,255047,299113,136329,66527,106,13596,374,26589,209606,1227354,1769,602171,709,372,12941,14606,21185,6602,69888,12402,577,25434,300,3052,195395,478912,2369088,166839,49,1394405,111992,3894,27638,340301,179692,294826,61,2579,10181,13364,4168979,2356,22633,223,734964,508469,1913182,130725,277406,20569,16451,321858,31140,1691,141573,3928609,39885,1106,11834,13516,113,15651,16630,59,7500,105110,67207,10410,1574,8294,124524,1919,1814,1462,969,676427,122309,113981,330995,906268,3664325,670907,40273,83575,15156,39025,5918884,32916,146981,171062,22733,302891,126,3135,16691,42305,164923,15646,1591,876,344478,671859,82518,435844,59880,1665974,3170,185144,457434,5922,118009,251222,7841,158859,1013876,134310,650102
1355,2015,High-income countries,156816897,1243675,3653479,845833,1060149,1734178,381,7522,230371,2033,42803,757011,173535,14972,454822,483222,75568,39305,14750,3632959,92497,345380,504254,55235,31583,15758,8375,314667,823667,5374,1255301,4146,13108,650520,26395,26229,149482,334959,204141,1233997,7677,1125,18789,17710,15833,321780,8933699,753023,116762,1368063,37738,102445,21451,109463,173420,553350,1443630,65338,135184,833372,22341,199843,236672,9953,63202,1366035,1036406,2885651,1439033,20682,164187,115596,601346,14692,859,204514,278986,1662191,96,1133,24983,66257,202734,3120982,423911,10327,720459,17774,63816,2740,1072,981764,88913,40796,440438,872766,180,635593,552847,37826,12985744,2634854,1051706,860740,742451,8625,243716,2469662,1068388,632906,583364,986577,338674,2344,155253,93555,282299,235562,706059,1388,100923,101030,3761,445670,57132,135836,17575,1551460,1054,103491,99428,7172,705,29839,141061,2,12483351,19972,28319,44528,43908,15836,2826485,83942,409723,5919,761,865955,874909,4202,777181,305864,10647,714759,5308,2475,163549,7014,4357649,2214,123848,3419,110761,1103750,5217005,4152406,1836458,1853071,10841,2075486,335715,585,3363765,2502839,29024,2664,35674,48260,321,57252,97525,2201,19453,173881,315280,818028,36223,91721,192842,23116,327294,98057,2667,416510,711640,23615,946596,1421239,140998,717630,241808,2994,312377,608273,1060001,35920,283594,750572,15026,53002,2128,54577,350024,741137,2969882,13936,1805,1730,134357,1727322,105536,4402403,125703,1615382,2012,171350,177981,7711,531737,2390671,7830,395,1019119,69488,233894
1356,2015,Middle-income countries,79772836,1947664,2188135,4009540,77757,35099,1654,61,193517,229,1634,194849,772702,1135,65466,49122,1070316,1001,41551,3613233,2451,1128402,35825,5976,475255,127,6923,481057,787769,67179,278952,381,31884,516199,1357226,18865,65301,699880,78058,75734,1244,105,315515,190957,111,288325,686404,277698,24400,1298707,5699,64987,54,28673,37201,318688,63341,444,20778,23143,83879,524957,13650,1842,730,28634,68772,309752,70639,61614,169037,75358,124840,0,52,2591,10039,185637,1268,0,5365,246,630571,906887,281993,119,141649,505,1306,184,1051,98956,110443,8270,27661,335919,0,64183,34274,808,2405824,1338561,60247,807332,23679,2,94519,398054,3579,167455,115568,2919191,34307,2468,42574,651645,992851,123037,62744,299101,136330,51741,103,122736,668,3775,115798,244055,1776,707233,838,93,698,14065,15620,0,62552,246,625,21746,91631,207,21774,387793,2388598,173601,1515,802349,84240,284,16418,339440,179824,283752,38,165,25426,13345,1212097,338,21033,830,732751,324682,203390,105750,366690,10779,12665,310098,588615,522,48285,7850637,54870,448,471,1408,111,1708,16436,109,61465,94356,83327,113891,1564,8289,122875,182,8486,36210,1088,1031412,112529,350725,338614,204174,3591419,103203,5204,83597,15491,39526,5178012,532752,213817,110390,22733,303015,126,2771,10822,11044,130358,227457,38,1630,346361,4115263,30041,308779,66167,1290528,907,176625,1794550,611,103271,235497,13,186892,63999,106216,667701
1357,2015,Upper-middle-income countries,48222417,1090272,1218108,2369529,77496,7679,1631,61,110160,229,1496,150415,704243,1070,36877,47518,868289,900,1465,420686,2411,840650,32620,3427,34409,127,44,480622,787631,66077,236435,381,6289,513896,5096,10891,1507,675710,38237,59803,1224,15,429,3950,111,282506,307489,277258,24400,1292481,4686,43490,54,14817,5194,318510,58485,277,20302,22658,73813,60524,12491,1428,727,28133,66435,135312,39780,56453,3713,64408,7480,0,52,1510,9417,117251,1247,0,794,128,520384,869433,16013,108,138368,107,1306,184,5,83515,3725,1620,27656,335787,0,31450,33045,753,245015,1131936,42960,309990,22929,0,24287,378107,3515,113091,37789,2659580,28560,2203,13371,608038,897192,102439,46899,298880,1220,7261,103,95456,658,3724,101735,19989,146,36350,833,1,698,560,15324,0,31141,246,534,21608,91629,207,12105,373585,2086197,166590,44,216657,74104,0,13134,315178,435,50136,37,90,10071,2014,88015,24,19370,141,728361,311963,191337,98151,271135,10340,1497,263692,434815,522,45600,3213546,7919,448,471,1408,111,1708,16415,109,5776,49341,25652,113814,1516,1172,82930,134,8370,36201,747,148637,50444,2143,317200,35610,846831,26087,5079,83561,13814,35206,4307342,489394,213582,29456,59,14913,126,2697,10817,5955,122645,201504,38,1338,9848,3883405,3992,220348,19796,1132926,813,175796,1554766,446,101644,138248,13,158885,27241,103339,649823
1358,2015,Lower-middle-income countries,31550419,857392,970027,1640011,261,27420,23,0,83357,0,138,44434,68459,65,28589,1604,202027,101,40086,3192547,40,287752,3205,2549,440846,0,6879,435,138,1102,42517,0,25595,2303,1352130,7974,63794,24170,39821,15931,20,90,315086,187007,0,5819,378915,440,0,6226,1013,21497,0,13856,32007,178,4856,167,476,485,10066,464433,1159,414,3,501,2337,174440,30859,5161,165324,10950,117360,0,0,1081,622,68386,21,0,4571,118,110187,37454,265980,11,3281,398,0,0,1046,15441,106718,6650,5,132,0,32733,1229,55,2160809,206625,17287,497342,750,2,70232,19947,64,54364,77779,259611,5747,265,29203,43607,95659,20598,15845,221,135110,44480,0,27280,10,51,14063,224066,1630,670883,5,92,0,13505,296,0,31411,0,91,138,2,0,9669,14208,302401,7011,1471,585692,10136,284,3284,24262,179389,233616,1,75,15355,11331,1124082,314,1663,689,4390,12719,12053,7599,95555,439,11168,46406,153800,0,2685,4637091,46951,0,0,0,0,0,21,0,55689,45015,57675,77,48,7117,39945,48,116,9,341,882775,62085,348582,21414,168564,2744588,77116,125,36,1677,4320,870670,43358,235,80934,22674,288102,0,74,5,5089,7713,25953,0,292,336513,231858,26049,88431,46371,157602,94,829,239784,165,1627,97249,0,28007,36758,2877,17878
1359,2015,Low-income countries,10491456,185236,855194,3,11,15859,0,6,187432,0,4452,1076,9,0,222,374,5,13,3,534,11,0,755,2,101721,0,28743,5,2,3477,3420,0,0,3,67665,333608,7890,9,43632,2628,0,0,358259,17770,0,701,53687,164,0,4338,12502,76070,0,686,630620,19,4278,0,7,0,1388,810515,248,3723,13,4986,2,5210,4,10802,212934,0,27055,0,0,3,6,56630,0,0,34574,17893,0,4469,121090,0,42,0,0,0,0,0,217136,46039,0,25,0,298,0,0,468279,1414,0,0,10,0,11,3739,0,990,2,0,86356,3,0,0,0,23,4236,8584,15701,1661,4,0,0,9661,198595,197,0,246236,0,6,0,74124,207,0,634,3,0,0,0,0,4314,164372,2,647,18,25,360,0,2,5,163227,182078,0,0,2,0,352559,9,0,16,0,1249,2928,1,5575,3201,0,5974,3,850,5,1416,429754,0,0,0,0,30,28,0,147,1408,144439,2,377,50007,0,0,0,71,12,476980,38675,1044451,3998,201,0,1055442,0,93,273,977,8,15032,0,614,0,82475,0,972,0,533,42,0,0,1,251517,9,0,12514,114486,11465,0,594,752,0,5198,756,0,0,6028,88208,65187
