,Year,Area/Region/Country,Country or Area of Origin / Total
1350,2015,WORLD,247585744
1351,2015,More developed regions,140250197
1352,2015,Less developed regions,107335547
1353,2015,Least developed countries,13804757
1354,2015,Less developed regions excluding least developed countries,93530790
1355,2015,High-income countries,156816897
1356,2015,Middle-income countries,79772836
1357,2015,Upper-middle-income countries,48222417
1358,2015,Lower-middle-income countries,31550419
1359,2015,Low-income countries,10491456
1360,2015,Sub-Saharan Africa,21705234
1361,2015,AFRICA,23436088
1362,2015,Eastern Africa,6920965
1363,2015,Burundi,289810
1364,2015,Comoros,12555
1365,2015,Djibouti,112351
1366,2015,Eritrea,15941
1367,2015,Ethiopia,1162576
1368,2015,Kenya,1084357
1369,2015,Madagascar,32075
1370,2015,Malawi,232803
1371,2015,Mauritius,28585
1372,2015,Mayotte,73992
1373,2015,Mozambique,238930
1374,2015,Réunion,127209
1375,2015,Rwanda,441525
1376,2015,Seychelles,12791
1377,2015,Somalia,41578
1378,2015,South Sudan,844122
1379,2015,Uganda,1197162
1380,2015,United Republic of Tanzania,413309
1381,2015,Zambia,155428
1382,2015,Zimbabwe,403866
1383,2015,Middle Africa,3436978
1384,2015,Angola,632178
1385,2015,Cameroon,508357
1386,2015,Central African Republic,81598
1387,2015,Chad,516968
1388,2015,Congo,392996
1389,2015,Democratic Republic of the Congo,824492
1390,2015,Equatorial Guinea,209611
1391,2015,Gabon,268384
1392,2015,Sao Tome and Principe,2394
1393,2015,Northern Africa,2354732
1394,2015,Algeria,239473
1395,2015,Egypt,565931
1396,2015,Libya,771146
1397,2015,Morocco,92424
1398,2015,Sudan,623878
1399,2015,Tunisia,56701
1400,2015,Western Sahara,5179
1401,2015,Southern Africa,4112793
1402,2015,Botswana,160644
1403,2015,Lesotho,6572
1404,2015,Namibia,96888
1405,2015,South Africa,3816696
1406,2015,Swaziland,31993
1407,2015,Western Africa,6610620
1408,2015,Benin,245399
1409,2015,Burkina Faso,704676
1410,2015,Cabo Verde,14924
1411,2015,Côte d'Ivoire,2175399
1412,2015,Gambia,192540
1413,2015,Ghana,399471
1414,2015,Guinea,126386
1415,2015,Guinea-Bissau,22333
1416,2015,Liberia,113779
1417,2015,Mali,365145
1418,2015,Mauritania,166552
1419,2015,Niger,252998
1420,2015,Nigeria,1199115
1421,2015,Saint Helena,604
1422,2015,Senegal,263242
1423,2015,Sierra Leone,91213
1424,2015,Togo,276844
1425,2015,ASIA,76558152
1426,2015,Central Asia,5393504
1427,2015,Kazakhstan,3546778
1428,2015,Kyrgyzstan,204382
1429,2015,Tajikistan,275059
1430,2015,Turkmenistan,196386
1431,2015,Uzbekistan,1170899
1432,2015,Eastern Asia,7600768
1433,2015,China,978046
1434,2015,China Hong Kong SAR,2838665
1435,2015,China Macao SAR,342703
1436,2015,Dem. People's Republic of Korea,48458
1437,2015,Japan,2232189
1438,2015,Mongolia,17620
1439,2015,Republic of Korea,1143087
1440,2015,Southern Asia,14173830
1441,2015,Afghanistan,489749
1442,2015,Bangladesh,1422805
1443,2015,Bhutan,51106
1444,2015,India,5240960
1445,2015,Iran (Islamic Republic of),2726420
1446,2015,Maldives,64273
1447,2015,Nepal,509855
1448,2015,Pakistan,3628956
1449,2015,Sri Lanka,39706
1450,2015,South-Eastern Asia,9609923
1451,2015,Brunei Darussalam,102733
1452,2015,Cambodia,73963
1453,2015,Indonesia,338124
1454,2015,Lao People's Democratic Republic,44575
1455,2015,Malaysia,2650617
1456,2015,Myanmar,73308
1457,2015,Philippines,211862
1458,2015,Singapore,2543638
1459,2015,Thailand,3486526
1460,2015,Timor-Leste,11784
1461,2015,Viet Nam,72793
1462,2015,Western Asia,39780127
1463,2015,Armenia,191199
1464,2015,Azerbaijan,264241
1465,2015,Bahrain,704137
1466,2015,Cyprus,192020
1467,2015,Georgia,76685
1468,2015,Iraq,359381
1469,2015,Israel,2011727
1470,2015,Jordan,3112026
1471,2015,Kuwait,2866136
1472,2015,Lebanon,1973204
1473,2015,Oman,1814591
1474,2015,Qatar,1687640
1475,2015,Saudi Arabia,10771366
1476,2015,State of Palestine,255507
